	title_Chinese	title_English	rate	director	country	year	genre
0	星际迷航3：超越星辰	Star Trek Beyond	7.4	" 林诣彬
            
          "	" 美国
            
          "	 2016	太空歌剧
1	星际迷航2：暗黑无界	Star Trek Into Darkness	8.0	" J·J·艾布拉姆斯
            
          "	" 美国
            
          "	 2013	太空歌剧
2	星际迷航	Star Trek	8.1	" J·J·艾布拉姆斯
            
          "	" 美国/德国
            
          "	 2009	太空歌剧
3	星际旅行9：起义	Star Trek: Insurrection	7.3	" 乔纳森·弗雷克斯
            
          "	" 美国
            
          "	 1998	太空歌剧
4	星际旅行5：终极先锋	Star Trek V: The Final Frontier	6.9	" 威廉·夏特纳
            
          "	" 美国
            
          "	 1989	太空歌剧
5	星际旅行6：未来之城	Star Trek VI: The Undiscovered Country	7.7	" 尼古拉斯·迈耶
            
          "	" 美国
            
          "	 1991	太空歌剧
6	星际旅行3：石破天惊	Star Trek III: The Search for Spock	7.3	" 伦纳德·尼莫伊
            
          "	" 美国
            
          "	 1984	太空歌剧
7	星际旅行2：可汗怒吼	Star Trek II: The Wrath of Khan	7.7	" 尼古拉斯·迈耶
            
          "	" 美国
            
          "	 1982	太空歌剧
8	星际旅行10：复仇女神	Star Trek: Nemesis	7.0	" 斯图尔特·贝尔德
            
          "	" 美国
            
          "	 2002	太空歌剧
9	星际旅行4：抢救未来	Star Trek IV: The Voyage Home	8.2	" 伦纳德·尼莫伊
            
          "	" 美国
            
          "	 1986	太空歌剧
10	星际旅行8：第一类接触	Star Trek: First Contact	7.8	" 乔纳森·弗雷克斯
            
          "	" 美国
            
          "	 1996	太空歌剧
11	星际旅行1：无限太空	Star Trek: The Motion Picture	7.7	" 罗伯特·怀斯
            
          "	" 美国
            
          "	 1979	太空歌剧
12	星球大战3：绝地归来	Star Wars: Episode VI - Return of the Jedi	8.4	" 理查德·马昆德
            
          "	" 美国
            
          "	 1983	太空歌剧
13	星球大战2：帝国反击战	Star Wars: Episode V - The Empire Strikes Back	8.4	" 厄文·克什纳
            
          "	" 美国
            
          "	 1980	太空歌剧
14	星球大战外传：侠盗一号	Rogue One: A Star Wars Story	7.3	" 加里斯·爱德华斯
            
          "	" 美国
            
          "	 2016	太空歌剧
15	游侠索罗：星球大战外传	Solo: A Star Wars Story	6.8	" 朗·霍华德
            
          "	" 美国
            
          "	 2018	太空歌剧
16	星球大战7：原力觉醒	Star Wars: The Force Awakens	7.2	" J·J·艾布拉姆斯
            
          "	" 美国
            
          "	 2015	太空歌剧
17	星球大战：克隆战争	Star Wars: The Clone Wars	7.8	" Dave Filoni
            
          "	" 美国
            
          "	 2008	太空歌剧
18	星球大战	Star Wars	8.4	" 乔治·卢卡斯
            
          "	" 美国
            
          "	 1977	太空歌剧
19	木星上行	Jupiter Ascending	5.4	" 莉莉·沃卓斯基 / 拉娜·沃卓斯基
            
          "	" 美国/澳大利亚
            
          "	 2015	太空歌剧
20	火星任务	Mission to Mars	7.6	" 布莱恩·德·帕尔玛
            
          "	" 美国
            
          "	 2000	太空冒险
