n_title,id,image
Star Trek Beyond,tt2660888,https://imdb-api.com/images/original/MV5BODgzMTZmMGMtNTM4Ni00ZjIxLWIyYmUtZjcxMDEwMjkxMzQyXkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_Ratio0.7273_AL_.jpg
Star Trek Into Darkness,tt1408101,https://imdb-api.com/images/original/MV5BMTk2NzczOTgxNF5BMl5BanBnXkFtZTcwODQ5ODczOQ@@._V1_Ratio0.7273_AL_.jpg
Star Trek,tt0796366,https://imdb-api.com/images/original/MV5BMjE5NDQ5OTE4Ml5BMl5BanBnXkFtZTcwOTE3NDIzMw@@._V1_Ratio0.7273_AL_.jpg
Star Trek: Insurrection,tt0120844,https://imdb-api.com/images/original/MV5BNWEzZDI0NjEtY2FkMC00ZjQwLWI2YzgtZDEyMzMwZmRlZDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
Star Trek V: The Final Frontier,tt0098382,https://imdb-api.com/images/original/MV5BZTE2NTE0YmYtNTE3YS00NzFmLWJmMDMtZWQ5Njg5NDBmNTFiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
Star Trek VI: The Undiscovered Country,tt0102975,https://imdb-api.com/images/original/MV5BYTM1ZDc0MDEtYjhhMC00ZWFmLThlMTYtOTI2MTdkZDVhODQwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
Star Trek III: The Search for Spock,tt0088170,https://imdb-api.com/images/original/MV5BMTliZGVjZmMtNzEzMy00MzVhLWFhYjYtNDhlYmViNGNiMGFlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
Star Trek II: The Wrath of Khan,tt0084726,https://imdb-api.com/images/original/MV5BMzcyYWE5YmQtNDE1Yi00ZjlmLWFlZTAtMzRjODBiYjM3OTA3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
Star Trek: Nemesis,tt0253754,https://imdb-api.com/images/original/MV5BMjAxNjY2NDY3NF5BMl5BanBnXkFtZTcwMjA0MTEzMw@@._V1_Ratio0.7273_AL_.jpg
Star Trek IV: The Voyage Home,tt0092007,https://imdb-api.com/images/original/MV5BYWM4MWEwNWYtZjNhYS00ZWVhLWE2ZjAtMDAyMGRkMDk2NDBlXkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_Ratio0.7273_AL_.jpg
Star Trek: First Contact,tt0117731,https://imdb-api.com/images/original/MV5BYTllZjRkY2QtYTJlMy00ZTMxLWE0YWQtMWMwYzY2YTM3YzRjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_Ratio0.7273_AL_.jpg
Star Trek: The Motion Picture,tt0079945,https://imdb-api.com/images/original/MV5BNzNlMzNlNmQtNmYzNS00YmU5LWIzYWQtMDRkYzIzNzEzOTIyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
Star Wars: Episode VI - Return of the Jedi,tt0086190,https://imdb-api.com/images/original/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_Ratio0.7273_AL_.jpg
Star Wars: Episode V - The Empire Strikes Back,tt0080684,https://imdb-api.com/images/original/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_Ratio0.7273_AL_.jpg
Rogue One: A Star Wars Story,tt3748528,https://imdb-api.com/images/original/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_Ratio0.7273_AL_.jpg
Solo: A Star Wars Story,tt3778644,https://imdb-api.com/images/original/MV5BOTM2NTI3NTc3Nl5BMl5BanBnXkFtZTgwNzM1OTQyNTM@._V1_Ratio0.7273_AL_.jpg
Star Wars: Episode VII - The Force Awakens,tt2488496,https://imdb-api.com/images/original/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@._V1_Ratio0.7273_AL_.jpg
Star Wars: The Clone Wars,tt1185834,https://imdb-api.com/images/original/MV5BMTI1MDIwMTczOV5BMl5BanBnXkFtZTcwNTI4MDE3MQ@@._V1_Ratio0.7273_AL_.jpg
