title_Chinese	n_title	year	id	image
星际迷航3：超越星辰	Star Trek Beyond	2016	tt2660888	https://imdb-api.com/images/original/MV5BODgzMTZmMGMtNTM4Ni00ZjIxLWIyYmUtZjcxMDEwMjkxMzQyXkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_Ratio0.7273_AL_.jpg
星际迷航2：暗黑无界	Star Trek Into Darkness	2013	tt1408101	https://imdb-api.com/images/original/MV5BMTk2NzczOTgxNF5BMl5BanBnXkFtZTcwODQ5ODczOQ@@._V1_Ratio0.7273_AL_.jpg
星际迷航	Star Trek	2009	tt0796366	https://imdb-api.com/images/original/MV5BMjE5NDQ5OTE4Ml5BMl5BanBnXkFtZTcwOTE3NDIzMw@@._V1_Ratio0.7273_AL_.jpg
星际旅行9：起义	Star Trek: Insurrection	1998	tt0120844	https://imdb-api.com/images/original/MV5BNWEzZDI0NjEtY2FkMC00ZjQwLWI2YzgtZDEyMzMwZmRlZDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
星际旅行5：终极先锋	Star Trek V: The Final Frontier	1989	tt0098382	https://imdb-api.com/images/original/MV5BZTE2NTE0YmYtNTE3YS00NzFmLWJmMDMtZWQ5Njg5NDBmNTFiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
星际旅行6：未来之城	Star Trek VI: The Undiscovered Country	1991	tt0102975	https://imdb-api.com/images/original/MV5BYTM1ZDc0MDEtYjhhMC00ZWFmLThlMTYtOTI2MTdkZDVhODQwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
星际旅行3：石破天惊	Star Trek III: The Search for Spock	1984	tt0088170	https://imdb-api.com/images/original/MV5BMTliZGVjZmMtNzEzMy00MzVhLWFhYjYtNDhlYmViNGNiMGFlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
星际旅行2：可汗怒吼	Star Trek II: The Wrath of Khan	1982	tt0084726	https://imdb-api.com/images/original/MV5BMzcyYWE5YmQtNDE1Yi00ZjlmLWFlZTAtMzRjODBiYjM3OTA3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
星际旅行10：复仇女神	Star Trek: Nemesis	2002	tt0253754	https://imdb-api.com/images/original/MV5BMjAxNjY2NDY3NF5BMl5BanBnXkFtZTcwMjA0MTEzMw@@._V1_Ratio0.7273_AL_.jpg
星际旅行4：抢救未来	Star Trek IV: The Voyage Home	1986	tt0092007	https://imdb-api.com/images/original/MV5BYWM4MWEwNWYtZjNhYS00ZWVhLWE2ZjAtMDAyMGRkMDk2NDBlXkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_Ratio0.7273_AL_.jpg
星际旅行8：第一类接触	Star Trek: First Contact	1996	tt0117731	https://imdb-api.com/images/original/MV5BYTllZjRkY2QtYTJlMy00ZTMxLWE0YWQtMWMwYzY2YTM3YzRjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_Ratio0.7273_AL_.jpg
星际旅行1：无限太空	Star Trek: The Motion Picture	1979	tt0079945	https://imdb-api.com/images/original/MV5BNzNlMzNlNmQtNmYzNS00YmU5LWIzYWQtMDRkYzIzNzEzOTIyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.7273_AL_.jpg
星球大战3：绝地归来	Star Wars: Episode VI - Return of the Jedi	1983	tt0086190	https://imdb-api.com/images/original/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_Ratio0.7273_AL_.jpg
星球大战2：帝国反击战	Star Wars: Episode V - The Empire Strikes Back	1980	tt0080684	https://imdb-api.com/images/original/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_Ratio0.7273_AL_.jpg
星球大战外传：侠盗一号	Rogue One: A Star Wars Story	2016	tt3748528	https://imdb-api.com/images/original/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_Ratio0.7273_AL_.jpg
游侠索罗：星球大战外传	Solo: A Star Wars Story	2018	tt3778644	https://imdb-api.com/images/original/MV5BOTM2NTI3NTc3Nl5BMl5BanBnXkFtZTgwNzM1OTQyNTM@._V1_Ratio0.7273_AL_.jpg
星球大战7：原力觉醒	Star Wars: Episode VII - The Force Awakens	2015	tt2488496	https://imdb-api.com/images/original/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@._V1_Ratio0.7273_AL_.jpg
星球大战：克隆战争	Star Wars: The Clone Wars	2008	tt1185834	https://imdb-api.com/images/original/MV5BMTI1MDIwMTczOV5BMl5BanBnXkFtZTcwNTI4MDE3MQ@@._V1_Ratio0.7273_AL_.jpg
星球大战	Star Wars: Episode IV - A New Hope	1977	tt0076759	https://imdb-api.com/images/original/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_Ratio0.7273_AL_.jpg
