i_title,i_id,plot,images
Star Trek Beyond,tt2660888,"After stopping off at Starbase Yorktown, a remote outpost on the fringes of Federation space, the USS Enterprise, halfway into their five-year mission, is destroyed by an unstoppable wave of unknown aliens. With the crew stranded on an unknown planet and with no apparent means of rescue, they find themselves fighting against a ruthless enemy with a well-earned hatred of the Federation and everything it stands for. Only a rebellious alien warrior can help them reunite and leave the planet to stop this deadly menace from beginning a possible galactic war.","['https://imdb-api.com/images/original/MV5BMTU4MTY1NDExNF5BMl5BanBnXkFtZTgwMzE5NzA1MjI@._V1_Ratio1.7800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BODM4MzExNzc4OF5BMl5BanBnXkFtZTgwNTk1NDQ0OTE@._V1_Ratio1.5400_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTUwNTI5OTY4MV5BMl5BanBnXkFtZTgwNjk1NDQ0OTE@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjI0MDEwMzQwNV5BMl5BanBnXkFtZTgwNzk1NDQ0OTE@._V1_Ratio1.5000_AL_.jpg']"
Star Trek Into Darkness,tt1408101,"When the USS Enterprise crew is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis. With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction. As our space heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.","['https://imdb-api.com/images/original/MV5BMTgyMTU3OTYwNl5BMl5BanBnXkFtZTcwMjc5NjI1OQ@@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjI0NjMwNTQyNl5BMl5BanBnXkFtZTcwMTAyMDk0OQ@@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTQ3NDcxNzkxMl5BMl5BanBnXkFtZTcwMzAyMDk0OQ@@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BODYyMzI4Mzc2MF5BMl5BanBnXkFtZTcwNDAyMDk0OQ@@._V1_Ratio1.5000_AL_.jpg']"
Star Trek,tt0796366,"On the day of James T. Kirk's birth, his father dies on his damaged starship in a last stand against a Romulan mining vessel looking for Ambassador Spock, who in this time, has grown on Vulcan disdained by his neighbors for his half-human heritage. 25 years later, James T. Kirk has grown into a young rebellious troublemaker. Challenged by Captain Christopher Pike to realize his potential in Starfleet, he comes to annoy academy instructors like Commander Spock. Suddenly, there is an emergency on Vulcan and the newly-commissioned USS Enterprise is crewed with promising cadets like Nyota Uhura, Hikaru Sulu, Pavel Chekov and even Kirk himself, thanks to Leonard McCoy's medical trickery. Together, this crew will have an adventure in the final frontier where the old legend is altered forever as a new version of the legend begins.","['https://imdb-api.com/images/original/MV5BMjE1NTgxMjM0OV5BMl5BanBnXkFtZTgwNDg1MTE3MzI@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTQ1MDEyNTg4MF5BMl5BanBnXkFtZTcwMzE4NDIzMw@@._V1_Ratio2.4200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjIyNTkwNjcwOV5BMl5BanBnXkFtZTcwNDE4NDIzMw@@._V1_Ratio2.3800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMzQyNzE2NTgwOF5BMl5BanBnXkFtZTcwNjE4NDIzMw@@._V1_Ratio2.4000_AL_.jpg']"
Star Trek: Insurrection,tt0120844,"While on a mission to observe the peaceful Ba'ku race, Lieutenant Commander Data suddenly behaves as if having to fear for his existence. The immortal Ba'ku, whose planet offers regenerative radiation, and therefore incredible lifespans, live in harmony with nature and reject advanced technology. Their planet and their culture is secretly researched by the Federation associated with an alien race called the Son'a. But the Son'a intend to abduct the Ba'ku in order to take the planet for themselves and for the Starfleet officials who all would like to regenerate their bodies. But they did not think of the loyalty of Captain Jean-Luc Picard and the crew of the U.S.S. Enterprise NCC-1701-E to the Prime Directive.","['https://imdb-api.com/images/original/MV5BMjM2NjU1NjEwN15BMl5BanBnXkFtZTgwNTE3NDExMjI@._V1_Ratio1.5200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BOTY1NTg4NDk5OV5BMl5BanBnXkFtZTgwMTY1MTAwMjE@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNzc5Mzg3MDQwOV5BMl5BanBnXkFtZTgwOTU1MTAwMjE@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNDUwNjQzNzc4M15BMl5BanBnXkFtZTgwMTA5ODY3MTE@._V1_Ratio1.2400_AL_.jpg']"
Star Trek V: The Final Frontier,tt0098382,"When the newly-christened starship Enterprise's shakedown cruise goes poorly, Captain Kirk and crew put her into Spacedock for repairs. But an urgent mission interrupts their Earth-bound shore leave. A renegade Vulcan named Sybok has taken three ambassadors hostage on Nimbus III, the Planet of Galactic Peace. This event also attracts the attention of a Klingon captain who wants to make a name for himself and sets out to pursue the Enterprise. Sybok's ragtag army captures the Enterprise and takes her on a journey to the center of the galaxy in search of the Supreme Being.","['https://imdb-api.com/images/original/MV5BMTAyODIwNDU1NjFeQTJeQWpwZ15BbWU4MDcxOTM2NzEx._V1_Ratio1.4800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTQ5NzgxNTU4MF5BMl5BanBnXkFtZTgwOTE5MzY3MTE@._V1_Ratio1.4800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjM3NjU2MDE4OF5BMl5BanBnXkFtZTgwODE5MzY3MTE@._V1_Ratio1.4800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTUyMjc2MDE4Ml5BMl5BanBnXkFtZTgwMDI5MzY3MTE@._V1_Ratio1.5000_AL_.jpg']"
Star Trek VI: The Undiscovered Country,tt0102975,"After an explosion on their moon, the Klingons have an estimated 50 years before their ozone layer is completely depleted, and they all die. They have only one choice - to make peace with the Federation, which will mean an end to 70 years of conflict. Captain James T. Kirk and crew are called upon to help in the negotiations because of their experience with the Klingons. Peace talks don't quite proceed, and Kirk and McCoy are convicted of assassinating the Klingon High Chancellor, and imprisoned on Rura Penthe, a snowy hard-labor prison camp. Will they manage to escape? And will there ever be peace with the Klingons?","['https://imdb-api.com/images/original/MV5BMTg3NDU0NzM1Nl5BMl5BanBnXkFtZTgwMDA3NDMwMjE@._V1_Ratio1.8400_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTUxNzE5NDc1NF5BMl5BanBnXkFtZTgwNDk2NDMwMjE@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjM5ODI1MDAyOV5BMl5BanBnXkFtZTgwNjk2NDMwMjE@._V1_Ratio1.5200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMzQ4ODA0NDU5MF5BMl5BanBnXkFtZTgwNTk2NDMwMjE@._V1_Ratio1.0000_AL_.jpg']"
Star Trek III: The Search for Spock,tt0088170,"In the wake of Spock's ultimate deed of sacrifice, Admiral Kirk and the Enterprise crew return to Earth for some essential repairs to their ship. When they arrive at Spacedock, they are shocked to discover that the Enterprise is to be decommissioned. Even worse, Dr. McCoy begins acting strangely and Scotty has been reassigned to another ship. Kirk is forced to steal back the Enterprise and head across space to the Genesis Planet to save Spock and bring him to Vulcan. Unbeknownst to them, the Klingons are planning to steal the secrets of the Genesis Device for their own deadly purpose.","['https://imdb-api.com/images/original/MV5BODkwNDMyMDc0Ml5BMl5BanBnXkFtZTgwOTA4NDExMjI@._V1_Ratio1.4600_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTQwMjQzNzk2NF5BMl5BanBnXkFtZTgwMjY1MTY3MTE@._V1_Ratio1.4600_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTkwMTIyNjQyNF5BMl5BanBnXkFtZTcwNDI2OTk1OQ@@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjAwNDQ0Njk0NF5BMl5BanBnXkFtZTcwNjQwMDA2OQ@@._V1_Ratio1.5000_AL_.jpg']"
Star Trek II: The Wrath of Khan,tt0084726,"It is the 23rd century. Admiral James T. Kirk is an instructor at Starfleet Academy and feeling old; the prospect of attending his ship, the USS Enterprise--now a training ship--on a two-week cadet cruise does not make him feel any younger. But the training cruise becomes a deadly serious mission when his nemesis Khan Noonien Singh--infamous conqueror from late 20th century Earth--appears after years of exile. Khan later revealed that the planet Ceti Alpha VI exploded, and shifted the orbit of the fifth planet as a Mars-like haven. He begins capturing Project Genesis, a top secret device holding the power of creation itself, and schemes the utter destruction of Kirk.","['https://imdb-api.com/images/original/MV5BMjI2MDQxNzY3Ml5BMl5BanBnXkFtZTgwNjI5NDExMjI@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNTQxMTYxNTE5Nl5BMl5BanBnXkFtZTgwODI5NDExMjI@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTU5MTY1ODcyMF5BMl5BanBnXkFtZTgwOTI5NDExMjI@._V1_Ratio1.4600_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMzQ2MTcyODkwMF5BMl5BanBnXkFtZTgwMDM5NDExMjI@._V1_Ratio1.4800_AL_.jpg']"
Star Trek: Nemesis,tt0253754,"After a joyous wedding between William Riker and Deanna Troi, Captain Picard and the Enterprise crew stumble upon a positronic signature which results in a prototype version of the android Data. Then the Enterprise is invited to Romulus to negotiate a peace treaty with the Romulans by their new leader, Praetor Shinzon. However, Shinzon is revealed to be a clone of Picard who was raised on Remus, a slave planet to the Romulans. Later on, Picard discovers that this peace treaty was nothing more than a set-up on account of the fact that Shinzon needs Picard in order to survive. But little do the Enterprise crew know that Shinzon also plans to do away with the Federation by unleashing a weapon that could destroy a whole planet.","['https://imdb-api.com/images/original/MV5BMjExOTE1OTE3OF5BMl5BanBnXkFtZTgwNjMxODc5MDI@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTk3Mzk3MjExN15BMl5BanBnXkFtZTgwNzMxODc5MDI@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTg4MzA3OTQwMF5BMl5BanBnXkFtZTgwNjcwMjAwMjE@._V1_Ratio2.2800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BOTYzNjU3NzgwNl5BMl5BanBnXkFtZTgwNzcwMjAwMjE@._V1_Ratio1.0000_AL_.jpg']"
Star Trek IV: The Voyage Home,tt0092007,"The most acclaimed Star Trek adventure of all time with an important message. It is the 23rd century, and a mysterious alien probe is threatening Earth by evaporating the oceans and destroying the atmosphere. In their frantic attempt to save mankind, Admiral Kirk and his crew must time travel back to 1986 San Francisco where they find a world of punk, pizza and exact-change buses that are as alien to them as anything they have ever encountered in the far-off reaches of the galaxy. William Shatner and Leonard Nimoy return as Kirk and Spock, along with the entire Star Trek crew.","['https://imdb-api.com/images/original/MV5BNjg4NzQ5MDc5OV5BMl5BanBnXkFtZTgwNTM1ODkwNDM@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTk5MDA0NTE5OF5BMl5BanBnXkFtZTgwNjc3NDExMjI@._V1_Ratio1.7800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTU0NDExNjE3Nl5BMl5BanBnXkFtZTgwMzI5NjM3OTE@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTU0MTY4MDkxMV5BMl5BanBnXkFtZTgwMTIzNjM3OTE@._V1_Ratio1.4800_AL_.jpg']"
