i_title,i_id,plot,images
Elysium,tt1535108,"In the year 2154, two classes of people exist: the very wealthy, who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth. Secretary Delacourt, a government official, will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn't stop the people of Earth from trying to get in by any means they can. When unlucky Max is backed into a corner, he agrees to take on a daunting mission that, if successful, will not only save his life but could bring equality to these polarized worlds.","['https://imdb-api.com/images/original/MV5BMjU1MDM0Nzk0NF5BMl5BanBnXkFtZTgwNzM5MjIwMDE@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTUxNjcxNDQzNV5BMl5BanBnXkFtZTgwNTM5MjIwMDE@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjE3MjQzODQ1N15BMl5BanBnXkFtZTgwNjM5MjIwMDE@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNjcwOTc0NDkyOF5BMl5BanBnXkFtZTgwNDM5MjIwMDE@._V1_Ratio1.5000_AL_.jpg']"
Divergent,tt1840309,"Set in a futuristic dystopia where society is divided into five factions that each represent a different virtue, teenagers have to decide if they want to stay in their faction or switch to another - for the rest of their lives. Tris Prior makes a choice that surprises everyone. Then Tris and her fellow faction-members have to live through a highly competitive initiation process to live out the choice they have made. They must undergo extreme physical and intense psychological tests, that transform them all. But Tris has a secret that she is Divergent, which means she doesn't fit into any one group. If anyone knew, it would mean a certain death. As she discovers a growing conflict that threatens to unravel her seemingly peaceful society, this secret might help her save the people she loves... or it might destroy her.","['https://imdb-api.com/images/original/MV5BNDkxNDc0MDQ4OV5BMl5BanBnXkFtZTgwNDEzMzUzMTE@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTczODE0OTIxMl5BMl5BanBnXkFtZTgwMjEzMzUzMTE@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTY3NjU2NjEzMl5BMl5BanBnXkFtZTgwMzEzMzUzMTE@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjAyNTYxNzgzMV5BMl5BanBnXkFtZTgwODAzMzUzMTE@._V1_Ratio1.0000_AL_.jpg']"
The Divergent Series: Insurgent,tt2908446,"As she searches for allies and answers in the wake of the uprising, Tris and Four are on the run. Being hunted by Jeanine Matthews, the leader of the Erudite faction, Tris and Four will race against time as they try to figure out what Abnegation sacrificed their lives to protect, and why the Erudite leaders will do anything to stop them. Haunted by her past choices but desperate to protect the ones she loves, Tris faces one impossible challenge after another as she unlocks the truth about the past and ultimately the future of her world.","['https://imdb-api.com/images/original/MV5BMjA0NTM4NjQ2NF5BMl5BanBnXkFtZTgwOTAyNzM3NDE@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjI0Mjg1NTQ2MF5BMl5BanBnXkFtZTgwMDEyNzM3NDE@._V1_Ratio1.5200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjE5NzAzNjEzMF5BMl5BanBnXkFtZTgwMTEyNzM3NDE@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMzI0NzE0NzczOF5BMl5BanBnXkFtZTgwMjEyNzM3NDE@._V1_Ratio1.5000_AL_.jpg']"
The Hunger Games: Mockingjay - Part 1,tt1951265,"With the Games destroyed, Katniss Everdeen, along with Gale, Finnick and Beetee, end up in the so thought ""destroyed"" District 13. Under the leadership of President Coin and the advice of her friends, Katniss becomes the ""Mockingjay"", the symbol of rebellion for the districts of Panem.","['https://imdb-api.com/images/original/MV5BMTUyNjYxOTc1OF5BMl5BanBnXkFtZTgwMzIwMzkxMzE@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTg4NDUyNzk0M15BMl5BanBnXkFtZTgwNDIwMzkxMzE@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTcwNzU3MDkzM15BMl5BanBnXkFtZTgwNTIwMzkxMzE@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTk0Njk0Nzk0NF5BMl5BanBnXkFtZTgwNjIwMzkxMzE@._V1_Ratio1.5000_AL_.jpg']"
The Hunger Games: Mockingjay - Part 2,tt1951266,"After young Katniss Everdeen agrees to be the symbol of rebellion, the Mockingjay, she tries to return Peeta to his normal state, tries to get to the Capitol, and tries to deal with the battles coming her way...but all for her main goal: assassinating President Snow and returning peace to the Districts of Panem. As her squad starts to get smaller and smaller, will she make it to the Capitol? Will she get revenge on Snow or will her target change? Will she be with her ""Star-Crossed Lover,"" Peeta, or her long-time friend, Gale? Deaths, bombs, bow and arrows, a love triangle, hope... What will happen?","['https://imdb-api.com/images/original/MV5BMTU3MTMxNjY5NF5BMl5BanBnXkFtZTgwNDYyMzkxNjE@._V1_Ratio1.4000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjg3OTMwMjQ3OV5BMl5BanBnXkFtZTgwODMyMzkxNjE@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTk1OTA1Mjg2N15BMl5BanBnXkFtZTgwNDM1OTM5NTE@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BNDU4NzU5NDAyN15BMl5BanBnXkFtZTgwMjM1OTM5NTE@._V1_Ratio1.5000_AL_.jpg']"
Maze Runner: The Death Cure,tt4500922,"In the epic finale to The Maze Runner Saga, Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary last city, a WCKD controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get the answers to the questions the Gladers have been asking since they first arrived in the maze. Will Thomas and the crew make it out alive? Or will Ava Paige get her way?","['https://imdb-api.com/images/original/MV5BNTI3MGY2YmItZTg0YS00MDJjLWIzNTAtMjA0OThmODk3YWJkXkEyXkFqcGdeQXVyNDg2MjUxNjM@._V1_Ratio1.6000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BZWU0ZTIzYzQtZDkzNy00NTdjLWE5N2UtNWZhYzM0YTMxNmY4XkEyXkFqcGdeQXVyNDg2MjUxNjM@._V1_Ratio1.8200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BOTEyYjI5YjgtOWJlYS00NjIxLWEwZmQtNjVjNTk1ZjFjYjAyXkEyXkFqcGdeQXVyNDg2MjUxNjM@._V1_Ratio1.7600_AL_.jpg', 'https://imdb-api.com/images/original/MV5BYzliZTIxNGUtYzEyZC00ZjI4LWI3MmItYmVmYmJjMGZiNjMzXkEyXkFqcGdeQXVyNDg2MjUxNjM@._V1_Ratio1.5000_AL_.jpg']"
Maze Runner: The Scorch Trials,tt4046784,"The second chapter of the epic ""Maze Runner"" saga. Thomas (Dylan O'Brien) and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD's vastly superior forces and uncover its shocking plans for them all.","['https://imdb-api.com/images/original/MV5BMjU3Mjk2MzA0NV5BMl5BanBnXkFtZTgwNTI5OTgxNzE@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTY2MDIwNjIyN15BMl5BanBnXkFtZTgwNzE5OTgxNzE@._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTUyNjM5MDUxN15BMl5BanBnXkFtZTgwMjI5OTgxNzE@._V1_Ratio1.3600_AL_.jpg', 'https://imdb-api.com/images/original/MV5BODUzNzUzMzU2NV5BMl5BanBnXkFtZTgwOTE5OTgxNzE@._V1_Ratio1.5200_AL_.jpg']"
The Maze Runner,tt1790864,"Awakening in an elevator, remembering nothing of his past, Thomas emerges into a world of about thirty teenage boys, all without past memories, who have learned to survive under their own set of rules in a completely enclosed environment, subsisting on their own agriculture and supplies. With a new boy arriving every thirty days, the group has been in ""The Glade"" for three years, trying to find a way to escape through the Maze that surrounds their living space (patrolled by cyborg monsters named 'Grievers'). They have begun to give up hope when a comatose girl arrives with a strange note, and their world begins to change with the boys dividing into two factions: those willing to risk their lives to escape and those wanting to hang onto what they've got and survive.","['https://imdb-api.com/images/original/MV5BMTA3NTgwODYyNzBeQTJeQWpwZ15BbWU4MDk4MzA5MTMx._V1_Ratio1.3800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTQ0OTU1MzY2NF5BMl5BanBnXkFtZTgwOTczMDkxMzE@._V1_Ratio1.3600_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjIyNzgzNjQwNF5BMl5BanBnXkFtZTgwMjgzMDkxMzE@._V1_Ratio1.5800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTUwNjEyOTg2NV5BMl5BanBnXkFtZTgwMDgzMDkxMzE@._V1_Ratio1.5600_AL_.jpg']"
The Purge: Election Year,tt4094724,"It's been two years since Leo Barnes (Frank Grillo) stopped himself from a regrettable act of revenge on Purge Night. Now serving as head of security for Senator Charlie Roan (Elizabeth Mitchell), his mission is to protect her in a run for president and survive the annual ritual that targets the poor and innocent. But when a betrayal forces them onto the streets of D.C. on the one night when no help is available, they must stay alive until dawn...or both be sacrificed for their sins against the state.","['https://imdb-api.com/images/original/MV5BMTQ3NTY1ODMyNF5BMl5BanBnXkFtZTgwNzc2MjY5ODE@._V1_Ratio1.5000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTA4NzY5NjA5NDheQTJeQWpwZ15BbWU4MDg3NjI2OTgx._V1_Ratio1.7400_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTc0MzQxNzk5OV5BMl5BanBnXkFtZTgwMjQyNDg5NzE@._V1_Ratio2.3800_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMjE1ODg5MzQ4NF5BMl5BanBnXkFtZTgwMzQyNDg5NzE@._V1_Ratio2.3800_AL_.jpg']"
The First Purge,tt6133466,"This horror/action-adventure film from director Gerard McMurray serves as a prequel that recounts events that led up to the first Purge event. To push the crime rate below one percent for the rest of the year, the New Founding Fathers of America (NFFA) test a sociological theory that vents aggression for one night in one isolated community.","['https://imdb-api.com/images/original/MV5BMTY1MTA4NTI2OV5BMl5BanBnXkFtZTgwMDY1MTMyNTM@._V1_Ratio2.4000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BMTU3NDY4ODI1OF5BMl5BanBnXkFtZTgwMjg0MTMyNTM@._V1_Ratio2.4200_AL_.jpg', 'https://imdb-api.com/images/original/MV5BYmI0OThlNzktZDZmMy00ZjAyLWFkOTUtZjg3Y2QwZWJhOGY2XkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_Ratio1.0000_AL_.jpg', 'https://imdb-api.com/images/original/MV5BOTdlM2ViODctZDk4NS00NzQwLTkwMjktZDQ0NmIyYjk0NDBhXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_Ratio1.0000_AL_.jpg']"
