r_title,r_id,IMDB,MTC,RottenTomatoes
Star Trek Beyond,tt2660888,7.1,68,86
Star Trek Into Darkness,tt1408101,7.7,72,84
Star Trek,tt0796366,7.9,82,94
Star Trek: Insurrection,tt0120844,6.4,64,54
Star Trek V: The Final Frontier,tt0098382,5.5,43,22
Star Trek VI: The Undiscovered Country,tt0102975,7.2,65,82
Star Trek III: The Search for Spock,tt0088170,6.7,56,79
Star Trek II: The Wrath of Khan,tt0084726,7.7,67,88
Star Trek: Nemesis,tt0253754,6.4,51,39
Star Trek IV: The Voyage Home,tt0092007,7.3,71,82
Star Trek: First Contact,tt0117731,7.6,71,92
Star Trek: The Motion Picture,tt0079945,6.4,48,43
Star Wars: Episode VI - Return of the Jedi,tt0086190,8.3,58,82
Star Wars: Episode V - The Empire Strikes Back,tt0080684,8.7,82,94
Rogue One: A Star Wars Story,tt3748528,7.8,65,84
Solo: A Star Wars Story,tt3778644,6.9,62,70
Star Wars: Episode VII - The Force Awakens,tt2488496,7.9,80,93
Star Wars: Episode IV - A New Hope,tt0076759,8.6,90,92
Jupiter Ascending,tt1617661,5.3,40,27
Mission to Mars,tt0183523,5.7,34,24
Lucy in the Sky,tt4682804,4.8,36,21
Solaris,tt0069293,8.1,90,66
The Martian,tt3659388,8,80,91
The Wandering Earth,tt7605074,6,57,71
Gemini Man,tt1025100,5.7,38,26
Frankenstein,tt0021884,7.8,91,100
Victor Frankenstein,tt1976009,6,36,27
Frankenstein,tt0021884,7.8,91,100
'Mary Shelley''s Frankenstein',tt0109836,6.4,,38
Annihilation,tt2798920,6.8,79,88
Cloud Atlas,tt1371111,7.4,55,66
The City of Lost Children,tt0112682,7.5,73,79
Inception,tt1375666,8.8,74,87
District 9,tt1136608,7.9,81,90
Minority Report,tt0181689,7.6,80,90
'I, Robot',tt0343818,7.1,59,56
Empire of the Wolves,tt0402158,5.9,,49
The Cell,tt0209958,6.4,40,45
The Thirteenth Floor,tt0139809,7.1,36,30
Brainstorm,tt0085271,6.4,57,55
The Man from Earth,tt0756683,7.9,,100
Android Apocalypse,tt0470023,4,,
Metropolis,tt0017136,8.3,98,97
Real Steel,tt0433035,7,56,60
S1m0ne,tt0258153,6.1,49,50
'I, Robot',tt0343818,7.1,59,56
Big Hero 6,tt2245084,7.8,74,90
Astro Boy,tt0375568,6.3,53,50
WALL·E,tt0910970,8.4,95,95
Pacific Rim,tt1663662,6.9,65,72
Her,tt1798709,8,90,94
Chappie,tt1823672,6.8,41,32
A.I. Artificial Intelligence,tt0212720,7.2,65,75
Bicentennial Man,tt0182789,6.9,42,36
Ex Machina,tt0470752,7.7,78,92
Appleseed Ex Machina,tt1043842,7.1,,77
Appleseed,tt0094668,6.4,,25
The Dark Knight,tt0468569,9,84,94
Surrogates,tt0986263,6.3,45,37
